,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,daily_return,cum_return,middle_band,upper_band,lower_band,Conversion,Baseline,SpanA,SpanB,Lagging
0,2017-06-13,1517.4326323597215,1551.1225904382677,1517.4326323597215,1540.000244140625,171294,0.0,0,,,,,,,,,,1537.9140625
1,2017-06-14,1532.201157679058,1538.6622468981866,1518.1252133088135,1523.89404296875,218903,0.0,0,-0.01045857053150201,0.989541429468498,,,,,,,,1529.0654296875
2,2017-06-15,1523.894050380499,1525.6938801741712,1504.5107826288393,1511.7103271484375,35838,0.0,0,-0.007995120052163851,0.9816299269433075,,,,,,,,1522.9178466796875
3,2017-06-16,1513.740890248651,1523.1555751068263,1504.0954522059874,1512.91015625,2046033,0.0,0,0.0007936898227227651,0.9824090366260025,,,,,,,,1520.4029541015625
4,2017-06-19,1525.740166574273,1531.2782434039436,1518.9098492831868,1526.38623046875,69278,0.0,0,0.00890738565213467,0.9911597327833724,,,,,,,,1521.287841796875
5,2017-06-20,1526.3860757651262,1526.3860757651262,1504.510719574042,1507.695068359375,51088,0.0,0,-0.012245368659827949,0.9790226164546635,,,,,,,,1610.00830078125
6,2017-06-21,1510.9718617207564,1510.9718617207564,1491.5885940994149,1502.1109619140625,38320,0.0,0,-0.0037037372891249865,0.9753965738832037,,,,,,,,1661.517333984375
7,2017-06-22,1509.033618635855,1532.2012169112868,1506.9106441699462,1527.3092041015625,51076,0.0,0,0.01677522022433764,0.9917590662161588,,,,,,,,1663.706298828125
8,2017-06-23,1528.5091535543768,1532.2012046499187,1516.0946768146,1523.755615234375,704911,0.0,0,-0.0023266990453828518,0.989451541343544,,,,1521.3555922688413,,,,1652.7615966796875
9,2017-06-27,1523.8941311407814,1538.3393039795455,1514.2947754967408,1524.2171630859375,438285,0.0,0,0.0003029014934861074,0.989751247693149,,,,1515.1254204988008,,,,1644.9376220703125
10,2017-06-28,1536.539242796221,1536.539242796221,1495.465176411887,1503.218505859375,39741,0.0,0,-0.013776683359245534,0.9761157581492623,,,,1514.9639490394802,,,,1618.5311279296875
11,2017-06-29,1509.1259188463753,1527.5861747344045,1496.5729673770074,1506.403076171875,42476,0.0,0,0.002118501269168016,0.9781836606217564,,,,1514.9639490394802,,,,1614.106689453125
12,2017-06-30,1501.6954107411304,1501.6954107411304,1484.20436580267,1491.9114990234375,39382,0.0,0,-0.009619986428376137,0.9687735470821158,,,,1511.2718348911078,,,,1608.2384033203125
13,2017-07-03,1490.665510853964,1503.3107397779872,1478.2510351049957,1497.3111572265625,51891,0.0,0,0.0036192885480534898,0.9722798180867273,,,,1508.2951695422707,,,,1602.6497802734375
14,2017-07-04,1497.172725627033,1519.0018848310824,1492.0961560126134,1514.1099853515625,39320,0.0,0,0.011219330093095836,0.9831881463086974,,,,1508.2951695422707,,,,1612.755859375
15,2017-07-05,1514.6639568566034,1514.6639568566034,1498.0035312749685,1503.95703125,35294,0.0,0,-0.00670555917323612,0.9765953200152001,,,,1508.2951695422707,,,,1585.7904052734375
16,2017-07-06,1504.4184445034114,1526.016964537179,1499.895659672064,1520.5711669921875,61958,0.0,0,0.011046948414728863,0.9873837181374736,,,,1508.2951695422707,,,,1578.0130615234375
17,2017-07-07,1522.9709256559408,1522.9709256559408,1492.5577028459113,1503.772216796875,74625,0.0,0,-0.011047789514871731,0.9764753106490793,,,,1508.2951695422707,,,,1596.874755859375
18,2017-07-10,1521.032576510073,1523.8476975039891,1496.4342667230517,1512.033203125,500465,0.0,0,0.005493509080598313,0.9818395866351101,,,,1507.3951389506083,,,,1622.163818359375
19,2017-07-11,1513.7408471434285,1522.9709742601565,1504.5107200267,1515.1253662109375,39188,0.0,0,0.002045036497576147,0.983847484424544,1513.4201110839845,1536.6938052272756,1490.1464169406934,1502.9186049197,,,,1637.625732421875
