Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-06-13,25.752364968437426,26.231033469062567,25.417296652804747,25.99169921875,31172,0.0,0
2017-06-14,26.039567947387695,26.1831681366981,25.608765553481003,26.039567947387695,9992,0.0,0
2017-06-15,25.465165781938452,26.03956837457889,24.890763189298013,25.94383430480957,47582,0.0,0
2017-06-16,25.417296652804747,26.278901414710333,25.417296652804747,25.99169921875,12742,0.0,0
2017-06-19,25.369430541992188,26.56610179397295,25.177962411285094,25.369430541992188,9733,0.0,0
2017-06-20,25.034362917272254,25.84809975627604,24.890762728265816,25.41729736328125,30619,0.0,0
2017-06-21,25.321563066300705,25.65662953813174,24.26849205575586,25.034360885620117,39278,0.0,0
2017-06-22,24.55569400947626,25.321564715187726,24.55569400947626,24.890762329101562,25811,0.0,0
2017-06-23,24.60356295601754,24.890763341101582,24.412094815311168,24.4599609375,36261,0.0,0
2017-06-27,24.555693232732505,24.890761541758952,23.694090313789772,24.220624923706055,28949,0.0,0
2017-06-28,23.694089066918675,24.890760231914566,22.880352309526412,23.02395248413086,66771,0.0,0
2017-06-29,24.172760594574964,24.172760594574964,22.736755014699224,23.837692260742188,23543,0.0,0
2017-06-30,24.077024590161173,24.077024590161173,22.736753188457687,23.215421676635742,35725,0.0,0
2017-07-03,22.976088579963236,24.7950285606819,22.976088579963236,24.412094116210938,49157,0.0,0
2017-07-04,24.79502796718715,26.278901414710333,24.124893161897205,25.99169921875,62191,0.0,0
2017-07-05,25.848101035340715,26.709704037990292,25.848101035340715,26.374635696411133,42372,0.0,0
2017-07-06,26.80543740012429,26.80543740012429,25.60876608761874,26.32676887512207,43027,0.0,0
2017-07-07,25.89596635693715,26.422502827680685,25.17796357263048,25.94383430480957,41499,0.0,0
2017-07-10,26.805435743631094,26.805435743631094,25.848098752787127,26.470367431640625,20252,0.0,0
2017-07-11,25.943833879188933,26.70970277282808,25.704499621679766,26.039567947387695,34276,0.0,0
2017-07-12,26.32676848015529,26.32676848015529,25.75236589357499,25.800233840942383,27442,0.0,0
2017-07-13,25.848098754882812,26.135299121769126,25.656630626308335,25.848098754882812,39915,0.0,0
2017-07-14,25.84809904278449,26.087433293180645,25.27369647663864,25.369430541992188,19427,0.0,0
2017-07-17,23.837689301552988,26.32676569620768,23.837689301552988,25.130094528198242,45460,0.0,0
2017-07-18,24.890761239188055,25.848098209926057,22.49741881234305,23.454755783081055,297549,0.0,0
2017-07-19,23.502622667132638,24.938628170036274,23.502622667132638,24.747161865234375,40519,0.0,0
2017-07-20,24.8907619068429,25.034362091110374,24.69929377716933,24.986495971679688,22035,0.0,0
2017-07-21,24.651428075937122,25.225830648726863,24.124893449365537,24.890762329101562,37946,0.0,0
2017-07-24,25.608764783444972,26.08743328407011,25.608764783444972,25.99169921875,69576,0.0,0
2017-07-25,26.087434068499338,26.422502394207267,25.895965932101813,26.039567947387695,49427,0.0,0
2017-07-26,26.326767250343604,26.326767250343604,25.465164323709256,25.848098754882812,27784,0.0,0
2017-07-27,25.177961086766587,26.08743192081827,25.177961086766587,25.65662956237793,55746,0.0,0
2017-07-28,24.890761627960753,25.656630486123237,24.890761627960753,25.465164184570312,14393,0.0,0
2017-07-31,26.326766158623943,26.326766158623943,25.417295324572258,25.65662956237793,48618,0.0,0
2017-08-01,26.087432193028906,26.087432193028906,25.03436117050056,25.177961349487305,35991,0.0,0
2017-08-02,25.321565426998752,25.36943154858702,24.890763028802358,24.938629150390625,22477,0.0,0
2017-08-03,24.89076278233292,24.89076278233292,24.029159820447262,24.172760009765625,34537,0.0,0
2017-08-04,23.98129201244217,25.848099962334288,22.49742033758725,25.800233840942383,43423,0.0,0
2017-08-07,27.18836830197967,27.47557047503499,25.465162567548845,25.608762741088867,60934,0.0,0
2017-08-08,25.46516460734573,26.231033478223253,24.603561671114665,25.369430541992188,70513,0.0,0
2017-08-09,24.555691967703133,25.943831251025117,24.412091792939723,24.50782585144043,26871,0.0,0
2017-08-10,24.555695050680058,25.36943191113808,22.976089278011848,23.837692260742188,59902,0.0,0
2017-08-11,23.837690054082096,23.837690054082096,21.923016124822887,23.071821212768555,46695,0.0,0
2017-08-14,24.412093264632837,27.284104236942582,23.167555907022106,27.092636108398438,172724,0.0,0
2017-08-16,26.42250131248859,26.99690387219005,26.135299119650156,26.470367431640625,26452,0.0,0
