Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-06-13,1012.4405421166787,1023.8269375679465,1005.2942396208578,1009.3438110351562,35488,0.0,0
2017-06-14,1010.0108966921227,1012.9646788820062,989.0484063834183,1003.0551147460938,75874,0.0,0
2017-06-15,995.7182265010078,1018.1099760921788,995.7182265010078,1015.537353515625,44637,0.0,0
2017-06-16,1019.3487091273859,1063.3698891977983,1018.1099700787165,1059.1773681640625,146952,0.0,0
2017-06-19,1066.133105356451,1084.2370722523142,1059.1297519515451,1075.3756103515625,79264,0.0,0
2017-06-20,1077.8531842797477,1086.2382276501842,1061.9884821635865,1067.6578369140625,64549,0.0,0
2017-06-21,1069.0868720323856,1080.0445360505428,1061.5118377800236,1074.7562255859375,30331,0.0,0
2017-06-22,1073.422467227752,1093.4796891317758,1057.4623895154762,1065.275634765625,56539,0.0,0
2017-06-23,1067.2290396665064,1079.0441687173238,1043.5985489377981,1066.3714599609375,67090,0.0,0
2017-06-27,1071.8501573416602,1074.7086784566366,1037.6431647364059,1052.364501953125,55853,0.0,0
2017-06-28,1052.8886214290594,1062.893445433589,1036.6903349455354,1052.2216796875,46781,0.0,0
2017-06-29,1063.036436859663,1076.185564855473,1038.6913176256046,1046.4093017578125,59976,0.0,0
2017-06-30,1040.025357851385,1056.509544267617,1037.6432567110933,1048.410400390625,52071,0.0,0
2017-07-03,1052.8887754985121,1077.4721074609072,1051.9359349776992,1076.0428466796875,37021,0.0,0
2017-07-04,1081.8073000407226,1088.5724434627004,1063.3698619867218,1067.41943359375,72650,0.0,0
2017-07-05,1072.946018675929,1080.8069522670144,1068.658236717155,1074.4228515625,31925,0.0,0
2017-07-06,1082.3790393334896,1091.9551321750964,1075.8521056543111,1080.2828369140625,55133,0.0,0
2017-07-07,1081.4738877168804,1095.6712333822131,1073.8511642792284,1078.3294677734375,37508,0.0,0
2017-07-10,1085.6665279808021,1093.8609333125958,1081.9504266345405,1088.8585205078125,83288,0.0,0
2017-07-11,1100.4353748354267,1100.5306356104375,1067.2764831851318,1071.18310546875,36750,0.0,0
2017-07-12,1074.8040020494898,1081.950305254606,1053.8415126478153,1069.8968505859375,52519,0.0,0
2017-07-13,1076.5190322382255,1087.4290072975352,1067.1811506446786,1076.661865234375,36831,0.0,0
2017-07-14,1076.8527055317684,1086.0952117807728,1071.0879740284943,1080.5211181640625,32651,0.0,0
2017-07-17,1084.4278244095126,1121.2551355314006,1075.7569985255586,1112.53662109375,94683,0.0,0
2017-07-18,1112.1552465781672,1121.9218604869332,1091.0022366377614,1095.71875,44208,0.0,0
2017-07-19,1099.577813830477,1109.1062177631502,1096.719292650675,1104.008544921875,25910,0.0,0
2017-07-20,1112.1553788311878,1119.5398926647326,1097.6722498379079,1102.1982421875,35533,0.0,0
2017-07-21,1106.2478637296897,1109.1063853413943,1081.9504300302006,1093.5274658203125,34641,0.0,0
2017-07-24,1095.7665379448056,1112.9653549136137,1094.5277988112807,1104.8662109375,34528,0.0,0
2017-07-25,1108.8203138166361,1111.0118932360792,1096.8145481815925,1103.103271484375,31238,0.0,0
2017-07-26,1105.2947057025042,1133.8799136086034,1100.530504384821,1128.3533935546875,69861,0.0,0
2017-07-27,1139.597014203054,1140.502165974883,1105.6282337862215,1112.7745361328125,47078,0.0,0
2017-07-28,1121.0556790308792,1133.836264808453,1118.1836320308003,1125.6510009765625,30851,5.5,0
2017-07-31,1129.6719775667907,1151.691007638008,1125.842581032666,1136.2777099609375,50875,0.0,0
2017-08-01,1142.548135015362,1147.4307084821612,1119.5239613267936,1126.177490234375,30301,0.0,0
2017-08-02,1126.799912357636,1134.8894656625596,1118.1837702920295,1122.20458984375,25224,0.0,0
2017-08-03,1121.0078303642063,1135.3202688695737,1110.3334818810529,1127.1348876953125,32750,0.0,0
2017-08-04,1130.9643478675187,1175.624707227399,1125.6511304246956,1170.6943359375,97763,0.0,0
