Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-06-13,138.0,138.0,130.3000030517578,130.3000030517578,1342,0,0
2017-06-14,120.0,140.0,120.0,134.39999389648438,1338,0,0
2017-06-15,134.39999389648438,134.39999389648438,134.39999389648438,134.39999389648438,0,0,0
2017-06-16,130.5500030517578,130.5500030517578,130.5500030517578,130.5500030517578,20,0,0
2017-06-19,132.0,133.35000610351562,132.0,133.35000610351562,570,0,0
2017-06-20,132.0,135.89999389648438,132.0,135.89999389648438,37,0,0
2017-06-21,130.39999389648438,130.39999389648438,130.25,130.25,43,0,0
2017-06-22,130.5,134.0,130.5,134.0,1030,0,0
2017-06-23,134.0,134.0,127.05000305175781,132.8000030517578,241,0,0
2017-06-27,131.9499969482422,131.9499969482422,130.0,131.9499969482422,145,0,0
2017-06-28,131.0,132.5,130.3000030517578,130.3000030517578,122,0,0
2017-06-29,125.25,130.0500030517578,125.25,130.0500030517578,646,0,0
2017-06-30,130.0,131.0,130.0,131.0,27,0,0
2017-07-03,130.0,131.0500030517578,128.1999969482422,129.1999969482422,312,0,0
2017-07-04,129.0,132.0,127.30000305175781,131.9499969482422,2050,0,0
2017-07-05,131.9499969482422,131.9499969482422,131.9499969482422,131.9499969482422,0,0,0
2017-07-06,131.9499969482422,132.0,129.25,129.5,394,0,0
2017-07-07,130.0,130.0,130.0,130.0,49,0,0
2017-07-10,118.0999984741211,139.0,118.0999984741211,129.0,197,0,0
2017-07-11,131.39999389648438,136.0,131.39999389648438,135.14999389648438,31,0,0
2017-07-12,134.0,134.0,130.5500030517578,131.5,1109,0,0
2017-07-13,128.0,135.0,128.0,132.6999969482422,1202,0,0
2017-07-14,131.1999969482422,133.6999969482422,131.14999389648438,133.6999969482422,230,0,0
2017-07-17,134.0,134.0,129.60000610351562,134.0,558,0,0
2017-07-18,129.0,132.0,128.0,132.0,1026,0,0
2017-07-19,132.39999389648438,140.0,129.0500030517578,131.39999389648438,928,0,0
2017-07-20,131.1999969482422,131.1999969482422,129.6999969482422,129.6999969482422,905,0,0
2017-07-21,130.0,130.0,130.0,130.0,1,0,0
2017-07-24,131.8000030517578,140.0,129.14999389648438,136.3000030517578,3462,0,0
2017-07-25,135.0,135.0,131.5500030517578,131.64999389648438,384,0,0
2017-07-26,130.89999389648438,132.0,130.89999389648438,131.64999389648438,125,0,0
2017-07-27,132.0,133.0,129.39999389648438,130.14999389648438,603,0,0
2017-07-28,129.5,130.0,129.5,130.0,30,0,0
2017-07-31,126.19999694824219,137.75,126.19999694824219,131.39999389648438,2457,0,0
2017-08-01,134.89999389648438,135.75,134.89999389648438,135.75,2,0,0
2017-08-02,132.0500030517578,133.0,132.0500030517578,133.0,250,0,0
2017-08-03,131.0,132.5,130.10000610351562,132.0,2392,0,0
2017-08-04,130.0,133.9499969482422,130.0,130.10000610351562,1301,0,0
2017-08-07,130.10000610351562,130.35000610351562,130.10000610351562,130.35000610351562,280,0,0
2017-08-08,130.0500030517578,130.0500030517578,130.0,130.0,99,0,0
2017-08-09,134.64999389648438,134.6999969482422,133.0,134.39999389648438,400,0,0
2017-08-10,130.0,130.0,127.55000305175781,127.55000305175781,105,0,0
2017-08-11,127.55000305175781,127.55000305175781,127.55000305175781,127.55000305175781,0,0,0
2017-08-14,130.0,133.5500030517578,130.0,131.75,116,0,0
2017-08-16,127.44999694824219,128.25,127.4000015258789,128.25,427,0,0
2017-08-17,133.8000030517578,137.89999389648438,129.0,133.0,478,0,0
2017-08-18,133.8000030517578,134.0,133.8000030517578,134.0,5,0,0
2017-08-21,131.0,131.0,128.8000030517578,130.5,100,0,0
2017-08-22,129.0500030517578,129.0500030517578,128.0,128.25,6,0,0
2017-08-23,133.9499969482422,135.0,127.0,128.89999389648438,107,0,0
2017-08-24,125.5999984741211,125.5999984741211,125.19999694824219,125.19999694824219,100,0,0
2017-08-28,125.1500015258789,125.1500015258789,124.19999694824219,124.19999694824219,65,0,0
2017-08-29,125.19999694824219,125.25,125.19999694824219,125.25,4,0,0
2017-08-30,124.80000305175781,124.80000305175781,122.0,122.05000305175781,1950,0,0
2017-08-31,121.75,126.80000305175781,121.75,123.5,213,0,0
2017-09-01,127.0,132.39999389648438,123.0,124.05000305175781,3803,0,0
2017-09-04,125.75,125.75,122.0,122.3499984741211,1154,0,0
2017-09-05,121.6500015258789,121.94999694824219,117.5,119.0,3917,0,0
2017-09-06,117.0,120.80000305175781,115.0999984741211,117.55000305175781,2958,0,0
2017-09-07,117.55000305175781,117.55000305175781,117.55000305175781,117.55000305175781,1,0,0
2017-09-08,118.5,126.0,118.0,122.1500015258789,3516,0,0
2017-09-11,124.69999694824219,127.0,119.25,121.0,1880,0,0
2017-09-12,120.0,120.80000305175781,119.0,120.3499984741211,1571,0,0
2017-09-13,120.0,120.0,118.69999694824219,119.0999984741211,3595,0,0
2017-09-14,120.30000305175781,123.0,119.0,119.0999984741211,2219,0,0
2017-09-15,118.80000305175781,122.94999694824219,118.80000305175781,120.6500015258789,1118,0,0
2017-09-18,119.0999984741211,122.44999694824219,118.55000305175781,122.44999694824219,1066,0,0
2017-09-19,119.0,120.3499984741211,118.30000305175781,119.3499984741211,1350,0,0
2017-09-20,119.0,121.94999694824219,118.19999694824219,121.94999694824219,1258,0,0
2017-09-21,119.19999694824219,124.0,119.1500015258789,121.30000305175781,2943,0,0
