token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
8601,GBPINR22708100.25CE,GBPINR,2022-07-08,1002500000.0,1,OPTCUR,CDS,25000.000000
8985,USDINR2272977.75PE,USDINR,2022-07-29,777500000.0,1,OPTCUR,CDS,25000.000000
8091,GBPINR22701101CE,GBPINR,2022-07-01,1010000000.0,1,OPTCUR,CDS,25000.000000
9562,GBPINR2280590.75PE,GBPINR,2022-08-05,907500000.0,1,OPTCUR,CDS,25000.000000
14688,GBPUSD22JUL1.155PE,GBPUSD,2022-07-27,11550000.0,1,OPTCUR,CDS,1000.000000
3819,EURUSD22DEC1.205CE,EURUSD,2022-12-28,12050000.0,1,OPTCUR,CDS,1000.000000
7123,667GS203523MAR94.25CE,667GS2035,2023-03-30,942500000.0,1,OPTIRC,CDS,25000.000000
14015,USDINR2280576.25PE,USDINR,2022-08-05,762500000.0,1,OPTCUR,CDS,25000.000000
15480,610GS203122AUG91.5PE,610GS2031,2022-08-25,915000000.0,1,OPTIRC,CDS,25000.000000
6443,GBPUSD23MAR1.325PE,GBPUSD,2023-03-29,13250000.0,1,OPTCUR,CDS,1000.000000
15502,610GS203122AUG94.25PE,610GS2031,2022-08-25,942500000.0,1,OPTIRC,CDS,25000.000000
3344,JPYINR2262459.25CE,JPYINR,2022-06-24,592500000.0,1,OPTCUR,CDS,25000.000000
2390,USDINR2270183.5PE,USDINR,2022-07-01,835000000.0,1,OPTCUR,CDS,25000.000000
12856,USDINR22JUN75.75CE,USDINR,2022-06-28,757500000.0,1,OPTCUR,CDS,25000.000000
5123,GBPUSD22DEC1.28PE,GBPUSD,2022-12-28,12800000.0,1,OPTCUR,CDS,1000.000000
6283,GBPINR2281993.75PE,GBPINR,2022-08-19,937500000.0,1,OPTCUR,CDS,25000.000000
10098,EURINR2290276.5PE,EURINR,2022-09-02,765000000.0,1,OPTCUR,CDS,25000.000000
3354,GBPINR2270192.25PE,GBPINR,2022-07-01,922500000.0,1,OPTCUR,CDS,25000.000000
13908,JPYINR2271563.75PE,JPYINR,2022-07-15,637500000.0,1,OPTCUR,CDS,25000.000000
11830,USDINR22SEP75.5CE,USDINR,2022-09-28,755000000.0,1,OPTCUR,CDS,25000.000000
6823,GBPINR2272994.75PE,GBPINR,2022-07-29,947500000.0,1,OPTCUR,CDS,25000.000000
1756,EURINR2272278PE,EURINR,2022-07-22,780000000.0,1,OPTCUR,CDS,25000.000000
5292,GBPINR22SEP89.5PE,GBPINR,2022-09-28,895000000.0,1,OPTCUR,CDS,25000.000000
13927,USDINR22DEC81.25CE,USDINR,2022-12-28,812500000.0,1,OPTCUR,CDS,25000.000000
4737,EURINR23MAR88.75PE,EURINR,2023-03-29,887500000.0,1,OPTCUR,CDS,25000.000000
3270,EURUSD22DEC1.055PE,EURUSD,2022-12-28,10550000.0,1,OPTCUR,CDS,1000.000000
4446,EURINR2261785CE,EURINR,2022-06-17,850000000.0,1,OPTCUR,CDS,25000.000000
11795,USDINR22SEP71PE,USDINR,2022-09-28,710000000.0,1,OPTCUR,CDS,25000.000000
5621,JPYINR22DEC63.25PE,JPYINR,2022-12-28,632500000.0,1,OPTCUR,CDS,25000.000000
4787,GBPUSD22JUN1.225PE,GBPUSD,2022-06-28,12250000.0,1,OPTCUR,CDS,1000.000000
14550,GBPINR2261791.5PE,GBPINR,2022-06-17,915000000.0,1,OPTCUR,CDS,25000.000000
13469,667GS203522SEP99.25PE,667GS2035,2022-09-29,992500000.0,1,OPTIRC,CDS,25000.000000
13366,667GS203522JUN95.25CE,667GS2035,2022-06-30,952500000.0,1,OPTIRC,CDS,25000.000000
4151,EURINR22JUL87PE,EURINR,2022-07-27,870000000.0,1,OPTCUR,CDS,25000.000000
