token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
512455,LLOYDSME,LLOYDSME,,-1.0,1,,BSE,5.000000
961751,736PFC2028,736PFC2028,,-1.0,1,,BSE,1.000000
531832,NAGTECH,NAGTECH,,-1.0,1,,BSE,1.000000
956260,825ISEC27,825ISEC27,,-1.0,1,,BSE,1.000000
500206,MARGOFIN,MARGOFIN,,-1.0,1,,BSE,5.000000
959553,765SCCL23,765SCCL23,,-1.0,1,,BSE,1.000000
530431,ADORFO,ADORFO,,-1.0,1,,BSE,5.000000
530219,NUTRICIRCLE,NUTRICIRCLE,,-1.0,1,,BSE,5.000000
973410,1045AMFL25,1045AMFL25,,-1.0,1,,BSE,1.000000
526367,GANESHHOUC,GANESHHOUC,,-1.0,1,,BSE,5.000000
199007,RELSNSXINAV,RELSNSXINAV,,-1.0,1,,BSE,1.000000
543191,NCPOAD,NCPOAD,,-1.0,1,,BSE,1.000000
531456,MINAXI,MINAXI,,-1.0,1,,BSE,1.000000
936844,0DLSL24A,0DLSL24A,,-1.0,1,,BSE,1.000000
543489,GATEWAY,GATEWAY,,-1.0,1,,BSE,5.000000
512025,INERTIAST,INERTIAST,,-1.0,1,,BSE,5.000000
973353,535TNL23,535TNL23,,-1.0,1,,BSE,1.000000
948930,105APSEZ23,105APSEZ23,,-1.0,1,,BSE,1.000000
810718,705RAJSDL31,705RAJSDL31,,-1.0,10,,BSE,5.000000
722884,RRVL25522,RRVL25522,,-1.0,1,,BSE,1.000000
973490,PEL270921,PEL270921,,-1.0,1,,BSE,1.000000
506248,AMNPLST,AMNPLST,,-1.0,1,,BSE,5.000000
960018,890DBL22C,890DBL22C,,-1.0,1,,BSE,1.000000
531982,SPECFOOD,SPECFOOD,,-1.0,1,,BSE,5.000000
521242,KANDAGIRI,KANDAGIRI,,-1.0,1,,BSE,5.000000
531556,CORALFINAC,CORALFINAC,,-1.0,1,,BSE,5.000000
937997,EHFL290422,EHFL290422,,-1.0,1,,BSE,1.000000
935353,0IFCI25,0IFCI25,,-1.0,1,,BSE,1.000000
958943,830AFL24,830AFL24,,-1.0,1,,BSE,1.000000
500331,PIDILITIND,PIDILITIND,,-1.0,1,,BSE,5.000000
957165,799TPCL23,799TPCL23,,-1.0,1,,BSE,1.000000
800120,0939GOI11,0939GOI11,,-1.0,10,,BSE,5.000000
972822,9NEEPCO2023,9NEEPCO2023,,-1.0,1,,BSE,1.000000
960523,ICMMB73,ICMMB73,,-1.0,1,,BSE,1.000000
513369,RJKMRFR,RJKMRFR,,-1.0,1,,BSE,5.000000
953276,845SBOI26,845SBOI26,,-1.0,1,,BSE,1.000000
958266,119AFPL23,119AFPL23,,-1.0,1,,BSE,1.000000
960476,605NLC26,605NLC26,,-1.0,1,,BSE,1.000000
810677,675KASDL33,675KASDL33,,-1.0,10,,BSE,5.000000
973222,715GRIL24,715GRIL24,,-1.0,1,,BSE,1.000000
800148,826GOI2027,826GOI2027,,-1.0,10,,BSE,25.000000
960294,74GRIL25,74GRIL25,,-1.0,1,,BSE,1.000000
959985,85IGT24,85IGT24,,-1.0,1,,BSE,1.000000
958232,847NABARD33,847NABARD33,,-1.0,1,,BSE,1.000000
543521,FONE4,FONE4,,-1.0,10000,,BSE,1.000000
570001,TATAMTRDVR,TATAMTRDVR,,-1.0,1,,BSE,5.000000
958753,1675PFSPL25,1675PFSPL25,,-1.0,1,,BSE,1.000000
500408,TATAELXSI,TATAELXSI,,-1.0,1,,BSE,5.000000
504882,NATIONSTD,NATIONSTD,,-1.0,1,,BSE,5.000000
530585,SWASTIKA,SWASTIKA,,-1.0,1,,BSE,5.000000
512237,JAICORPLTD,JAICORPLTD,,-1.0,1,,BSE,5.000000
935856,865IBHFL26,865IBHFL26,,-1.0,1,,BSE,1.000000
936398,1015EFL29,1015EFL29,,-1.0,1,,BSE,1.000000
958879,732NTPC29,732NTPC29,,-1.0,1,,BSE,1.000000
957223,825KMPL27,825KMPL27,,-1.0,1,,BSE,1.000000
973576,678VRET24,678VRET24,,-1.0,1,,BSE,1.000000
959337,639IOCL25,639IOCL25,,-1.0,1,,BSE,1.000000
540780,NIVBDP,NIVBDP,,-1.0,1,,BSE,1.000000
959496,8IHFCL30,8IHFCL30,,-1.0,2,,BSE,1.000000
543394,SFMP54GD,SFMP54GD,,-1.0,1,,BSE,1.000000
542443,RSDFSC43DR,RSDFSC43DR,,-1.0,1,,BSE,1.000000
538273,RESPONSINF,RESPONSINF,,-1.0,1,,BSE,1.000000
543473,HEALTHY,HEALTHY,,-1.0,1,,BSE,1.000000
951899,874RRVUN27,874RRVUN27,,-1.0,1,,BSE,1.000000
722241,SCCL110122,SCCL110122,,-1.0,1,,BSE,1.000000
973631,PFIT41221,PFIT41221,,-1.0,1000000,,BSE,1.000000
936692,1025SFL24A,1025SFL24A,,-1.0,1,,BSE,1.000000
537379,HCPO36MJDD,HCPO36MJDD,,-1.0,1,,BSE,1.000000
539278,SYMBIOX,SYMBIOX,,-1.0,1,,BSE,1.000000
524564,GAYATRIBI,GAYATRIBI,,-1.0,1,,BSE,5.000000
956110,925TANGENDO,925TANGENDO,,-1.0,1,,BSE,1.000000
937631,915EFSL26,915EFSL26,,-1.0,1,,BSE,1.000000
973652,98JMCPIL24,98JMCPIL24,,-1.0,1,,BSE,1.000000
973941,10JSHP24,10JSHP24,,-1.0,1,,BSE,1.000000
959914,106MFL23,106MFL23,,-1.0,1,,BSE,1.000000
804538,364TB151222,364TB151222,,-1.0,10,,BSE,5.000000
935668,704HUDCO26,704HUDCO26,,-1.0,1,,BSE,1.000000
542077,H1344D43RQ,H1344D43RQ,,-1.0,1,,BSE,1.000000
542801,MISQUITA,MISQUITA,,-1.0,2000,,BSE,5.000000
539031,SETFBSE100,SETFBSE100,,-1.0,1,,BSE,1.000000
530723,ASITCFIN,ASITCFIN,,-1.0,1,,BSE,5.000000
952574,719IRFC25,719IRFC25,,-1.0,1,,BSE,1.000000
951710,835REC25,835REC25,,-1.0,1,,BSE,1.000000
973671,HGEL211221,HGEL211221,,-1.0,1,,BSE,1.000000
590082,LOHIASEC,LOHIASEC,,-1.0,1,,BSE,5.000000
936410,92MMFSL27,92MMFSL27,,-1.0,1,,BSE,1.000000
973267,815MTS23,815MTS23,,-1.0,1000000,,BSE,1.000000
936180,9SEFL23A,9SEFL23A,,-1.0,1,,BSE,1.000000
949605,980BOB2023,980BOB2023,,-1.0,1,,BSE,1.000000
973155,IFSL23APR21,IFSL23APR21,,-1.0,1,,BSE,1.000000
973283,1168SML27,1168SML27,,-1.0,1,,BSE,1.000000
534623,JUPITERIN,JUPITERIN,,-1.0,1,,BSE,5.000000
543171,ROJL,ROJL,,-1.0,10500,,BSE,5.000000
973066,SCUF17MAR21,SCUF17MAR21,,-1.0,1,,BSE,1.000000
543226,UTIBANKETF,UTIBANKETF,,-1.0,1,,BSE,1.000000
542073,H1344D43DQ,H1344D43DQ,,-1.0,1,,BSE,1.000000
973874,645DBL35,645DBL35,,-1.0,1,,BSE,1.000000
522263,JMCPROJECT,JMCPROJECT,,-1.0,1,,BSE,5.000000
506197,BLISSGVS,BLISSGVS,,-1.0,1,,BSE,5.000000
956741,12VDPL22,12VDPL22,,-1.0,1,,BSE,1.000000
973826,585IHFC24,585IHFC24,,-1.0,1,,BSE,1.000000
960310,65EPL22A,65EPL22A,,-1.0,1,,BSE,1.000000
500290,MRF,MRF,,-1.0,1,,BSE,5.000000
513683,NLCINDIA,NLCINDIA,,-1.0,1,,BSE,5.000000
532320,VAARAD,VAARAD,,-1.0,1,,BSE,5.000000
533344,PFS,PFS,,-1.0,1,,BSE,5.000000
972584,IFCISR52I,IFCISR52I,,-1.0,4,,BSE,1.000000
199010,RELGNFTINAV,RELGNFTINAV,,-1.0,1,,BSE,1.000000
948494,1020RCL22A,1020RCL22A,,-1.0,1,,BSE,1.000000
722543,N18MI14322,N18MI14322,,-1.0,1,,BSE,1.000000
539447,BEARDSELL,BEARDSELL,,-1.0,1,,BSE,5.000000
539517,SXETF,SXETF,,-1.0,1,,BSE,1.000000
956076,95KTL38,95KTL38,,-1.0,1,,BSE,1.000000
938043,1049DLSL22,1049DLSL22,,-1.0,1,,BSE,1.000000
524218,RESONANCE,RESONANCE,,-1.0,1,,BSE,5.000000
973270,EFIL26JUN21,EFIL26JUN21,,-1.0,10,,BSE,1.000000
543071,07AGG,07AGG,,-1.0,1,,BSE,1.000000
956717,742ICICI24,742ICICI24,,-1.0,1,,BSE,1.000000
800351,GS15DEC24C,GS15DEC24C,,-1.0,100,,BSE,5.000000
721543,KMPL20921,KMPL20921,,-1.0,1,,BSE,1.000000
937793,875EFSL24A,875EFSL24A,,-1.0,1,,BSE,1.000000
951015,1215GMRW23B,1215GMRW23B,,-1.0,1,,BSE,1.000000
973548,625APSEZ24,625APSEZ24,,-1.0,1,,BSE,1.000000
531112,BALUFORGE,BALUFORGE,,-1.0,1,,BSE,5.000000
973238,515ABFL23,515ABFL23,,-1.0,1,,BSE,1.000000
956189,823ILFSL27,823ILFSL27,,-1.0,1000,,BSE,1.000000
501833,CHOWGULSTM,CHOWGULSTM,,-1.0,1,,BSE,1.000000
959691,88CGCL23,88CGCL23,,-1.0,1,,BSE,1.000000
538743,MUDUNURU,MUDUNURU,,-1.0,1,,BSE,1.000000
954055,936SBL26,936SBL26,,-1.0,1,,BSE,1.000000
950352,1092SEFL24,1092SEFL24,,-1.0,1,,BSE,1.000000
937445,0MFL23VI,0MFL23VI,,-1.0,1,,BSE,1.000000
953225,863LTICL36,863LTICL36,,-1.0,1,,BSE,1.000000
959682,94IFCIL23,94IFCIL23,,-1.0,1,,BSE,1.000000
973411,950BEL24,950BEL24,,-1.0,1,,BSE,1.000000
955013,8PLL22,8PLL22,,-1.0,1,,BSE,1.000000
542465,RSDFSC44DR,RSDFSC44DR,,-1.0,1,,BSE,1.000000
521149,PRIMEURB,PRIMEURB,,-1.0,1,,BSE,1.000000
523127,EIHAHOTELS,EIHAHOTELS,,-1.0,1,,BSE,5.000000
952600,9MMFSL25A,9MMFSL25A,,-1.0,1,,BSE,1.000000
959428,74RIL25,74RIL25,,-1.0,1,,BSE,1.000000
199013,RELPSUBINAV,RELPSUBINAV,,-1.0,1,,BSE,1.000000
957357,95DMTCL38A,95DMTCL38A,,-1.0,1,,BSE,1.000000
538524,NFHXXVI30D,NFHXXVI30D,,-1.0,1,,BSE,1.000000
541006,ANGEL,ANGEL,,-1.0,4000,,BSE,5.000000
517170,KLKELEC,KLKELEC,,-1.0,1,,BSE,5.000000
523449,SHARP,SHARP,,-1.0,1,,BSE,5.000000
500174,GLFL,GLFL,,-1.0,1,,BSE,1.000000
800253,SGB2016II,SGB2016II,,-1.0,1,,BSE,1.000000
